1	 1:6.6749	 2:3.09	 3:4.14	 4:.027707
1	 1:0	 2:0	 3:0	 4:0
1	 1:19.4361	 2:2.02	 3:3.12	 4:.00468
2	 1:17.9064	 2:1.01	 3:5.17	 4:.005933
1	 1:17.0697	 2:6.22	 3:7.42	 4:.007782
2	 1:11.5477	 2:4.06	 3:3.16	 4:.021081
2	 1:17.2611	 2:4.13	 3:6.25	 4:.006865
1	 1:3.19695	 2:0	 3:0	 4:0
1	 1:4.22329	 2:1.04	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:1.77712	 2:0	 3:0	 4:0
2	 1:5.70432	 2:0	 3:1.01	 4:.00114
1	 1:3.1496	 2:0	 3:1.01	 4:.00154
1	 1:8.14056	 2:0	 3:1.01	 4:.000805
2	 1:9.57998	 2:3.12	 3:4.35	 4:.007274
1	 1:12.2306	 2:6.25	 3:3.35	 4:.003634
1	 1:3.11109	 2:0	 3:0	 4:0
2	 1:4.02695	 2:0	 3:0	 4:0
1	 1:19.1174	 2:2.02	 3:4.1	 4:.005125
2	 1:25.1599	 2:13.36	 3:16.41	 4:.009963
2	 1:5.77294	 2:0	 3:0	 4:0
1	 1:7.26892	 2:0	 3:1.06	 4:.000838
1	 1:9.37455	 2:1.02	 3:1.01	 4:.001425
1	 1:6.42599	 2:0	 3:0	 4:0
1	 1:5.98276	 2:0	 3:0	 4:0
1	 1:5.65358	 2:0	 3:0	 4:0
1	 1:4.77474	 2:0	 3:0	 4:0
1	 1:11.5775	 2:4.49	 3:5.09	 4:.005462
1	 1:6.41569	 2:0	 3:0	 4:0
1	 1:16.1857	 2:3.06	 3:4.1	 4:.01021
1	 1:4.50833	 2:0	 3:0	 4:0
1	 1:5.82803	 2:1.02	 3:2.04	 4:.008733
1	 1:19.2704	 2:7.29	 3:8.59	 4:.01582
2	 1:4.0222	 2:1.01	 3:1.03	 4:.004128
1	 1:3.05459	 2:0	 3:0	 4:0
1	 1:12.8088	 2:0	 3:3.06	 4:.002571
1	 1:8.4335	 2:2.05	 3:1.12	 4:.000971
1	 1:4.3791	 2:3.16	 3:2.28	 4:.011174
1	 1:9.58809	 2:3.07	 3:3.25	 4:.002523
2	 1:8.24327	 2:0	 3:1.01	 4:.000911
1	 1:1.76682	 2:0	 3:0	 4:0
2	 1:5.98814	 2:0	 3:0	 4:0
1	 1:15.3807	 2:3.1	 3:4.26	 4:.013221
1	 1:10.231	 2:2.02	 3:2.02	 4:.001511
1	 1:10.9524	 2:2.03	 3:4.11	 4:.00489
1	 1:13.3755	 2:5.14	 3:4.22	 4:.003635
1	 1:6.42599	 2:0	 3:0	 4:0
1	 1:4.8313	 2:1.02	 3:0	 4:0
2	 1:11.4311	 2:1.01	 3:3.08	 4:.003812
1	 1:4.82617	 2:1.05	 3:1.04	 4:.00191
1	 1:6.41247	 2:1.02	 3:1.03	 4:.001976
1	 1:17.5389	 2:2.03	 3:4.11	 4:.004969
1	 1:6.13795	 2:0	 3:0	 4:0
2	 1:3.03875	 2:1.18	 3:1.44	 4:.002474
1	 1:16.0268	 2:1.01	 3:3.06	 4:.004191
1	 1:11.181	 2:2.06	 3:4.13	 4:.002801
1	 1:6.25954	 2:0	 3:0	 4:0
1	 1:4.91442	 2:0	 3:0	 4:0
1	 1:1.56044	 2:0	 3:0	 4:0
2	 1:2.98549	 2:0	 3:0	 4:0
1	 1:15.0607	 2:6.28	 3:6.42	 4:.007099
1	 1:3.17095	 2:0	 3:0	 4:0
1	 1:6.08326	 2:1.03	 3:2.08	 4:.002767
1	 1:9.50088	 2:2.49	 3:3.96	 4:.004781
2	 1:23.0493	 2:11.42	 3:13.09	 4:.023218
1	 1:6.31854	 2:0	 3:0	 4:0
2	 1:35.7287	 2:20.77	 3:26.05	 4:.031732
1	 1:15.7846	 2:4.24	 3:8.46	 4:.007876
1	 1:11.0213	 2:4.19	 3:4.47	 4:.004294
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:2.5349	 2:0	 3:0	 4:0
1	 1:14.1511	 2:3.07	 3:4.14	 4:.004777
1	 1:8.70423	 2:0	 3:0	 4:0
2	 1:18.4647	 2:13.29	 3:16.82	 4:.040992
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:0	 2:1.44	 3:1.66	 4:.000599
1	 1:3.15995	 2:0	 3:0	 4:0
1	 1:6.41569	 2:0	 3:0	 4:0
1	 1:5.02919	 2:1.01	 3:0	 4:0
1	 1:32.4055	 2:16.67	 3:16.33	 4:.026246
1	 1:5.81133	 2:3.08	 3:3.11	 4:.005526
1	 1:11.6025	 2:5.75	 3:7.13	 4:.00975
1	 1:19.4569	 2:4.47	 3:5.58	 4:.007216
2	 1:14.1924	 2:5.43	 3:6.85	 4:.008618
1	 1:5.87009	 2:0	 3:0	 4:0
2	 1:58.1518	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:12.2006	 2:3.09	 3:1.1	 4:.000723
1	 1:3.20019	 2:0	 3:0	 4:0
1	 1:10.3932	 2:2.09	 3:1.12	 4:.002474
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:0	 2:0	 3:0	 4:0
1	 1:3.76631	 2:0	 3:0	 4:0
1	 1:5.77253	 2:2.08	 3:3.09	 4:.003192
1	 1:14.5709	 2:2.03	 3:4.08	 4:.006222
2	 1:14.7404	 2:5.09	 3:5.16	 4:.007609
1	 1:5.82803	 2:0	 3:0	 4:0
1	 1:12.178	 2:4.08	 3:4.08	 4:.005649
1	 1:1.56044	 2:0	 3:0	 4:0
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:11.8849	 2:1.01	 3:2.03	 4:.008426
1	 1:16.789	 2:2.05	 3:4.14	 4:.005114
1	 1:1.76682	 2:0	 3:0	 4:0
1	 1:22.6033	 2:9.64	 3:11.85	 4:.010161
1	 1:29.2299	 2:19.5	 3:19.98	 4:.02234
1	 1:5.82803	 2:0	 3:0	 4:0
1	 1:6.41569	 2:0	 3:0	 4:0
1	 1:7.34429	 2:2.04	 3:2.05	 4:.002
1	 1:5.02919	 2:0	 3:0	 4:0
1	 1:7.53288	 2:3.41	 3:3.77	 4:.002248
1	 1:8.78554	 2:0	 3:1.05	 4:.000805
1	 1:6.41569	 2:0	 3:0	 4:0
2	 1:10.0211	 2:0	 3:1.02	 4:.001627
1	 1:7.80551	 2:0	 3:0	 4:0
1	 1:0	 2:0	 3:0	 4:0
2	 1:22.1695	 2:6.15	 3:9.27	 4:.015778
1	 1:1.76682	 2:0	 3:0	 4:0
2	 1:5.38037	 2:1.08	 3:2.19	 4:.00328
2	 1:11.4216	 2:6.09	 3:6.18	 4:.005217
1	 1:9.16954	 2:0	 3:0	 4:0
1	 1:8.70673	 2:1.01	 3:2.02	 4:.003838
1	 1:9.56428	 2:0	 3:0	 4:0
1	 1:15.4609	 2:4.1	 3:4.24	 4:.002865
1	 1:4.47111	 2:0	 3:0	 4:0
1	 1:18.9709	 2:3.3	 3:4.8	 4:.004228
